Method,nlist,m,nprobe,L,Recall,Latency(us)
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=12,L=500,0.9335,485
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=16,L=100,0.6775,469
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=16,L=200,0.8125,491
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=16,L=500,0.931,481
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=20,L=100,0.642,429
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=20,L=200,0.7935,558
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=20,L=500,0.9185,618
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=24,L=100,0.609,629
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=24,L=200,0.769,618
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=24,L=500,0.9095,691
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=32,L=100,0.578,719
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=32,L=200,0.735,708
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=32,L=500,0.8885,905
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=64,L=100,0.5025,1521
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=64,L=200,0.6535,1645
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=64,L=500,0.8225,1497
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=128,L=100,0.435,3159
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=128,L=200,0.577,3561
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=128,L=500,0.7355,3444
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=4,L=100,0.7785,203
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=4,L=200,0.8395,246
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=4,L=500,0.87,256
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=8,L=100,0.7595,389
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=8,L=200,0.856,431
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=8,L=500,0.928,467
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=12,L=100,0.7255,459
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=12,L=200,0.839,502
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=12,L=500,0.936,526
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=16,L=100,0.686,709
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=16,L=200,0.825,654
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=16,L=500,0.9305,660
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=20,L=100,0.652,659
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=20,L=200,0.799,766
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=20,L=500,0.921,858
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=24,L=100,0.622,799
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=24,L=200,0.772,948
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=24,L=500,0.907,1036
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=32,L=100,0.588,1201
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=32,L=200,0.7435,1283
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=32,L=500,0.89,1159
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=64,L=100,0.5145,2255
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=64,L=200,0.6615,2315
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=64,L=500,0.829,2477
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=128,L=100,0.446,4511
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=128,L=200,0.5855,4823
IVF-PQ(Serial)+Rerank,nlist=128,m=48,nprobe=128,L=500,0.7445,5287
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=4,L=100,0.658,105
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=4,L=200,0.7555,136
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=4,L=500,0.853,218
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=8,L=100,0.5975,216
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=8,L=200,0.7355,180
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=8,L=500,0.865,219
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=12,L=100,0.539,184
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=12,L=200,0.6905,195
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=12,L=500,0.841,494
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=16,L=100,0.498,220
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=16,L=200,0.6575,277
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=16,L=500,0.825,388
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=20,L=100,0.4685,361
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=20,L=200,0.623,332
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=20,L=500,0.8,387
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=24,L=100,0.4395,364
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=24,L=200,0.588,294
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=24,L=500,0.7805,378
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=32,L=100,0.4065,409
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=32,L=200,0.549,415
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=32,L=500,0.749,531
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=64,L=100,0.332,759
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=64,L=200,0.4605,752
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=64,L=500,0.6495,902
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=128,L=100,0.277,1801
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=128,L=200,0.3915,1578
IVF-PQ(Serial)+Rerank,nlist=128,m=8,nprobe=128,L=500,0.571,1751
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=4,L=100,0.7415,81
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=4,L=200,0.7965,95
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=4,L=500,0.8165,299
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=8,L=100,0.731,110
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=8,L=200,0.8375,196
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=8,L=500,0.8995,274
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=12,L=100,0.683,214
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=12,L=200,0.8195,197
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=12,L=500,0.9215,267
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=16,L=100,0.653,256
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=16,L=200,0.7925,231
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=16,L=500,0.9225,248
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=20,L=100,0.6185,269
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=20,L=200,0.769,271
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=20,L=500,0.9185,334
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=24,L=100,0.5915,550
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=24,L=200,0.745,258
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=24,L=500,0.905,332
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=32,L=100,0.551,261
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=32,L=200,0.702,333
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=32,L=500,0.879,550
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=64,L=100,0.454,612
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=64,L=200,0.6,516
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=64,L=500,0.799,626
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=128,L=100,0.3745,1004
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=128,L=200,0.5115,937
IVF-PQ(Serial)+Rerank,nlist=256,m=16,nprobe=128,L=500,0.7045,949
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=4,L=100,0.765,113
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=4,L=200,0.8045,127
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=4,L=500,0.816,206
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=8,L=100,0.772,166
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=8,L=200,0.8615,369
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=8,L=500,0.9075,270
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=12,L=100,0.735,204
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=12,L=200,0.857,249
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=12,L=500,0.9295,504
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=16,L=100,0.695,245
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=16,L=200,0.8395,328
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=16,L=500,0.933,414
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=20,L=100,0.6685,347
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=20,L=200,0.819,352
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=20,L=500,0.9305,486
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=24,L=100,0.6475,482
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=24,L=200,0.8005,531
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=24,L=500,0.9305,472
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=32,L=100,0.6005,460
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=32,L=200,0.762,586
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=32,L=500,0.912,607
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=64,L=100,0.499,833
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=64,L=200,0.6585,898
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=64,L=500,0.849,1023
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=128,L=100,0.43,1673
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=128,L=200,0.5635,1504
IVF-PQ(Serial)+Rerank,nlist=256,m=32,nprobe=128,L=500,0.7685,1708
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=4,L=100,0.7715,150
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=4,L=200,0.8095,273
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=4,L=500,0.822,200
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=8,L=100,0.778,219
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=8,L=200,0.866,294
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=8,L=500,0.913,305
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=12,L=100,0.741,311
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=12,L=200,0.86,395
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=12,L=500,0.933,400
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=16,L=100,0.7065,418
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=16,L=200,0.8475,440
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=16,L=500,0.938,755
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=20,L=100,0.6825,565
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=20,L=200,0.8255,469
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=20,L=500,0.933,501
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=24,L=100,0.6475,436
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=24,L=200,0.7995,555
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=24,L=500,0.9305,609
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=32,L=100,0.6125,595
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=32,L=200,0.771,704
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=32,L=500,0.9205,716
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=64,L=100,0.5035,1144
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=64,L=200,0.6645,1214
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=64,L=500,0.8485,1622
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=128,L=100,0.4305,2176
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=128,L=200,0.566,2554
IVF-PQ(Serial)+Rerank,nlist=256,m=48,nprobe=128,L=500,0.7795,2552
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=4,L=100,0.6705,66
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=4,L=200,0.7595,86
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=4,L=500,0.8085,170
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=8,L=100,0.635,122
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=8,L=200,0.761,178
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=8,L=500,0.878,212
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=12,L=100,0.59,121
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=12,L=200,0.732,139
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=12,L=500,0.876,203
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=16,L=100,0.5435,198
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=16,L=200,0.6895,211
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=16,L=500,0.856,275
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=20,L=100,0.518,139
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=20,L=200,0.6665,164
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=20,L=500,0.838,225
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=24,L=100,0.498,153
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=24,L=200,0.6415,175
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=24,L=500,0.821,234
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=32,L=100,0.45,212
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=32,L=200,0.5895,293
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=32,L=500,0.786,341
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=64,L=100,0.3535,513
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=64,L=200,0.4905,471
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=64,L=500,0.6785,603
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=128,L=100,0.2825,780
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=128,L=200,0.398,680
IVF-PQ(Serial)+Rerank,nlist=256,m=8,nprobe=128,L=500,0.5825,957
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=4,L=100,0.703,64
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=4,L=200,0.7405,95
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=4,L=500,0.748,180
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=8,L=100,0.745,120
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=8,L=200,0.8235,96
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=8,L=500,0.863,167
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=12,L=100,0.727,92
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=12,L=200,0.832,117
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=12,L=500,0.9,184
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=16,L=100,0.7085,170
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=16,L=200,0.8275,139
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=16,L=500,0.9175,266
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=20,L=100,0.6745,200
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=20,L=200,0.805,224
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=20,L=500,0.9165,286
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=24,L=100,0.644,217
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=24,L=200,0.787,144
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=24,L=500,0.9165,190
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=32,L=100,0.601,181
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=32,L=200,0.766,224
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=32,L=500,0.9075,247
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=64,L=100,0.488,280
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=64,L=200,0.6555,260
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=64,L=500,0.8455,417
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=128,L=100,0.3915,490
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=128,L=200,0.5345,487
IVF-PQ(Serial)+Rerank,nlist=512,m=16,nprobe=128,L=500,0.751,700
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=4,L=100,0.72,94
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=4,L=200,0.745,107
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=4,L=500,0.748,213
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=8,L=100,0.773,161
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=8,L=200,0.8435,167
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=8,L=500,0.8625,302
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=12,L=100,0.7585,162
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=12,L=200,0.856,188
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=12,L=500,0.906,254
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=16,L=100,0.7425,364
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=16,L=200,0.8545,317
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=16,L=500,0.9305,273
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=20,L=100,0.708,199
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=20,L=200,0.835,213
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=20,L=500,0.9315,403
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=24,L=100,0.683,282
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=24,L=200,0.8215,304
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=24,L=500,0.9365,323
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=32,L=100,0.646,285
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=32,L=200,0.793,314
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=32,L=500,0.932,388
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=64,L=100,0.5415,462
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=64,L=200,0.6945,525
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=64,L=500,0.8825,524
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=128,L=100,0.447,823
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=128,L=200,0.5905,898
IVF-PQ(Serial)+Rerank,nlist=512,m=32,nprobe=128,L=500,0.7915,1176
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=4,L=100,0.725,118
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=4,L=200,0.744,163
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=4,L=500,0.748,341
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=8,L=100,0.775501,161
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=8,L=200,0.844,146
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=8,L=500,0.8625,227
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=12,L=100,0.7615,195
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=12,L=200,0.8585,285
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=12,L=500,0.905,315
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=16,L=100,0.7415,286
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=16,L=200,0.862,241
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=16,L=500,0.929,325
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=20,L=100,0.713,275
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=20,L=200,0.844,269
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=20,L=500,0.933,343
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=24,L=100,0.6895,298
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=24,L=200,0.8295,371
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=24,L=500,0.9365,1027
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=32,L=100,0.6535,389
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=32,L=200,0.798,466
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=32,L=500,0.9375,430
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=64,L=100,0.5535,582
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=64,L=200,0.699,728
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=64,L=500,0.888,838
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=128,L=100,0.4575,1310
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=128,L=200,0.595,1138
IVF-PQ(Serial)+Rerank,nlist=512,m=48,nprobe=128,L=500,0.798,1369
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=4,L=100,0.6665,60
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=4,L=200,0.729,88
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=4,L=500,0.7465,187
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=8,L=100,0.668,90
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=8,L=200,0.784,106
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=8,L=500,0.8555,173
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=12,L=100,0.63,94
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=12,L=200,0.775,107
